\ul;
\b;
\i;
\sub;
\super;
\palin;
\fN;
\fsN;
\scaps;
\strike;
\v;
\langN;
\noproof;
{\super\chftn}{\footnote\pard\plain\chftn. Foo!};
\cfN;
\cbN;
\page;\n
\line;\n
\tab; 
\par;\n
\pard;
\ql;
\qr;
\qj;
\qc;
\liN;
\riN;
\fiN;
\sbN; 
\saN; 
\pagebb;\n
\keep;
\keepn;
\widctlpar;
{\header\pard\qr\plain\f0\chpgn\par};
\colsN;
\linebetcol;
\sect\sectd;
\ftnbj\ftnrestart;
\deflangN;
\widowctrl;
\hyphcaps;
\hyphauto;
\pgnstartN;
\marglN;
\margrN;
\margtN;
\margbN;
\landscape;
[return];
[linefeed];
[space]; 
[tab]; 
\\;\
\{;{
\};}
\~;~
\-;-
\_;_
\bullet;
\endash;
\emdash;
\enspace; 
\emspace; 
\lquote;'
\rquote;'
\ldblquote;"
\rdblquote;"
\{\*?\\[^{}]+(?:-?\d+)[ ]?;
